"Air Elemental","Air Elemental"
"Ancestral Recall","Ancestral Recall"
"Animate Artifact","Animate Artifact"
"Animate Dead","Animate Dead"
"Animate Wall","Animate Wall"
"Ankh of Mishra","Ankh of Mishra"
"Armageddon","Armageddon"
"Aspect of Wolf","Aspect of Wolf"
"Bad Moon","Bad Moon"
"Badlands","Badlands"
"Balance","Balance"
"Basalt Monolith","Basalt Monolith"
"Bayou","Bayou"
"Benalish Hero","Benalish Hero"
"Berserk","Berserk"
"Birds of Paradise","Birds of Paradise"
"Black Knight","Black Knight"
"Black Lotus","Black Lotus"
"Black Vise","Black Vise"
"Black Ward","Black Ward"
"Blaze of Glory","Blaze of Glory"
"Blessing","Blessing"
"Blue Elemental Blast","Blue Elemental Blast"
"Blue Ward","Blue Ward"
"Bog Wraith","Bog Wraith"
"Braingeyser","Braingeyser"
"Burrowing","Burrowing"
"Camouflage","Camouflage"
"Castle","Castle"
"Celestial Prism","Celestial Prism"
"Channel","Channel"
"Chaos Orb","Chaos Orb"
"Chaoslace","Chaoslace"
"Circle of Protection: Blue","Circle of Protection: Blue"
"Circle of Protection: Green","Circle of Protection: Green"
"Circle of Protection: Red","Circle of Protection: Red"
"Circle of Protection: White","Circle of Protection: White"
"Clockwork Beast","Clockwork Beast"
"Clone","Clone"
"Cockatrice","Cockatrice"
"Consecrate Land","Consecrate Land"
"Conservator","Conservator"
"Contract from Below","Contract from Below"
"Control Magic","Control Magic"
"Conversion","Conversion"
"Copper Tablet","Copper Tablet"
"Copy Artifact","Copy Artifact"
"Counterspell","Counterspell"
"Craw Wurm","Craw Wurm"
"Creature Bond","Creature Bond"
"Crusade","Crusade"
"Crystal Rod","Crystal Rod"
"Cursed Land","Cursed Land"
"Cyclopean Tomb","Cyclopean Tomb"
"Dark Ritual","Dark Ritual"
"Darkpact","Darkpact"
"Death Ward","Death Ward"
"Deathgrip","Deathgrip"
"Deathlace","Deathlace"
"Demonic Attorney","Demonic Attorney"
"Demonic Hordes","Demonic Hordes"
"Demonic Tutor","Demonic Tutor"
"Dingus Egg","Dingus Egg"
"Disenchant","Disenchant"
"Disintegrate","Disintegrate"
"Disrupting Scepter","Disrupting Scepter"
"Dragon Whelp","Dragon Whelp"
"Drain Life","Drain Life"
"Drain Power","Drain Power"
"Drudge Skeletons","Drudge Skeletons"
"Dwarven Demolition Team","Dwarven Demolition Team"
"Dwarven Warriors","Dwarven Warriors"
"Earth Elemental","Earth Elemental"
"Earthbind","Earthbind"
"Earthquake","Earthquake"
"Elvish Archers","Elvish Archers"
"Evil Presence","Evil Presence"
"False Orders","False Orders"
"Farmstead","Farmstead"
"Fastbond","Fastbond"
"Fear","Fear"
"Feedback","Feedback"
"Fire Elemental","Fire Elemental"
"Fireball","Fireball"
"Firebreathing","Firebreathing"
"Flashfires","Flashfires"
"Flight","Flight"
"Fog","Fog"
"Force of Nature","Force of Nature"
"Forcefield","Forcefield"
"Forest","Forest"
"Fork","Fork"
"Frozen Shade","Frozen Shade"
"Fungusaur","Fungusaur"
"Gaea's Liege","Gaea's Liege"
"Gauntlet of Might","Gauntlet of Might"
"Giant Growth","Giant Growth"
"Giant Spider","Giant Spider"
"Glasses of Urza","Glasses of Urza"
"Gloom","Gloom"
"Goblin Balloon Brigade","Goblin Balloon Brigade"
"Goblin King","Goblin King"
"Granite Gargoyle","Granite Gargoyle"
"Gray Ogre","Gray Ogre"
"Green Ward","Green Ward"
"Grizzly Bears","Grizzly Bears"
"Guardian Angel","Guardian Angel"
"Healing Salve","Healing Salve"
"Helm of Chatzuk","Helm of Chatzuk"
"Hill Giant","Hill Giant"
"Holy Armor","Holy Armor"
"Holy Strength","Holy Strength"
"Howl from Beyond","Howl from Beyond"
"Howling Mine","Howling Mine"
"Hurloon Minotaur","Hurloon Minotaur"
